CapteurID,Timestamp,Consommation_kWh,Tension_V,Frequence_Hz,FacteurPuissance,Temperature_C,Qualite_Signal
CAP_0001,2025-01-01 00:00:00,191.7,235.65,49.93,0.9,27.2,Bon
CAP_0001,2025-01-01 01:00:00,257.01,227.58,49.83,0.86,26.8,Bon
CAP_0001,2025-01-01 02:00:00,261.26,235.87,50.18,0.92,20.2,Faible
CAP_0001,2025-01-01 03:00:00,185.76,221.31,50.01,0.95,23.2,Excellent
CAP_0001,2025-01-01 04:00:00,114.38,237.69,50.01,0.92,30.5,Moyen
CAP_0001,2025-01-01 05:00:00,63.75,228.84,50.14,0.87,26.5,Faible
CAP_0001,2025-01-01 06:00:00,233.09,221.65,50.02,0.88,32.3,Moyen
CAP_0001,2025-01-01 07:00:00,272.24,228.71,49.94,0.89,34.6,Bon
CAP_0001,2025-01-01 08:00:00,225.2,230.95,49.88,0.86,32.1,Faible
CAP_0001,2025-01-01 09:00:00,179.33,236.71,50.18,0.94,20.9,Faible
CAP_0001,2025-01-01 10:00:00,140.91,235.96,50.19,0.9,21.7,Faible
CAP_0001,2025-01-01 11:00:00,182.29,226.44,50.1,0.97,23.0,Bon
CAP_0001,2025-01-01 12:00:00,117.79,225.9,50.15,0.86,26.1,Moyen
CAP_0001,2025-01-01 13:00:00,202.2,224.77,49.95,0.86,23.7,Faible
CAP_0001,2025-01-01 14:00:00,203.59,221.89,49.89,0.89,32.1,Moyen
CAP_0001,2025-01-01 15:00:00,66.01,226.41,50.09,0.94,22.7,Moyen
CAP_0001,2025-01-01 16:00:00,177.19,200.3,50.19,0.87,18.1,Bon
CAP_0001,2025-01-01 17:00:00,271.42,226.96,50.1,0.95,28.9,Faible
CAP_0001,2025-01-01 18:00:00,106.46,236.08,49.89,0.91,28.1,Moyen
CAP_0001,2025-01-01 19:00:00,251.03,236.17,49.81,0.98,21.9,Moyen
CAP_0001,2025-01-01 20:00:00,88.31,236.82,49.97,0.92,24.3,Excellent
CAP_0001,2025-01-01 21:00:00,219.57,174.14,50.02,0.87,22.9,Bon
CAP_0001,2025-01-01 22:00:00,159.51,230.47,50.2,0.94,20.6,Moyen
CAP_0001,2025-01-01 23:00:00,253.12,235.29,50.05,0.85,23.0,Moyen
