timestamp,site_id,consumption_mw,voltage_v,frequency_hz,status
2025-01-03T04:30:00,SITE_IND_002,0.865,234.6,49.89,OK
2025-01-22 01:00:00,SITE_IND_001,1.224,229.0,49.85,OK
2025-01-11T13:30:00,SITE_RES_001,0.149,223.5,49.65,OK
17/01/2025 18:15:00,SITE_COM_001,1.105,219.6,50.16,OK
2025-01-27T00:00:00,SITE_COM_001,,234.8,50.25,ERROR
2025-01-11 05:15:00,SITE_COM_001,0.172,246.1,50.24,OK
2025-01-09T19:30:00,SITE_IND_001,3.321,229.3,50.01,OK
2025-01-15T22:00:00,SITE_COM_001,0.164,241.4,49.88,OK
2025-01-22T12:30:00,SITE_COM_001,1.116,232.7,49.76,OK
2025-01-25T05:15:00,SITE_COM_001,0.166,228.6,49.62,OK
2025-01-17 21:00:00,SITE_COM_002,0.147,220.0,50.09,OK
2025-01-18 20:30:00,SITE_IND_002,1.067,237.8,49.98,OK
25/01/2025 10:30:00,SITE_IND_002,0.996,232.8,50.12,OK
2025-01-16T00:45:00,SITE_IND_001,1.484,218.9,50.23,OK
2025-01-30 06:00:00,SITE_IND_002,2.56,213.9,49.63,OK
2025-01-25 04:45:00,SITE_RES_001,0.16,213.9,49.95,OK
2025-01-07 05:00:00,SITE_IND_002,-888.0,224.8,49.89,ERROR
2025-01-18 11:45:00,SITE_IND_001,,217.1,49.29,ERROR
2025-01-02 22:30:00,SITE_COM_002,0.102,234.6,49.8,OK
2025-01-28T11:15:00,SITE_COM_002,0.667,224.1,49.64,OK
22/01/2025 16:00:00,SITE_IND_002,2.623,229.1,50.03,OK
25/01/2025 20:00:00,SITE_IND_002,1.184,231.7,49.86,OK
2025-01-13 12:00:00,SITE_IND_001,3.712,221.7,49.97,OK
19/01/2025 22:15:00,SITE_RES_002,0.1,239.8,50.07,OK
2025-01-01T10:15:00,SITE_RES_002,0.139,220.5,50.53,OK
2025-01-13T07:15:00,SITE_COM_002,0.167,243.1,50.19,OK
2025-01-06T11:45:00,SITE_COM_002,0.737,242.4,50.15,OK
2025-01-24T20:00:00,SITE_COM_001,0.226,215.4,50.25,OK
2025-01-26T05:00:00,SITE_RES_001,0.165,253.3,50.2,OK
2025-01-13T16:30:00,SITE_IND_001,-777.0,220.4,50.09,ERROR
05/01/2025 07:30:00,SITE_IND_002,0.885,220.9,50.15,OK
2025-01-10T21:45:00,SITE_RES_002,0.114,230.2,50.07,OK
2025-01-11T14:30:00,SITE_IND_001,1.476,236.0,49.92,OK
2025-01-08 15:45:00,SITE_IND_001,2.657,231.7,50.08,OK
2025-01-14T03:15:00,SITE_RES_002,0.135,227.9,50.16,OK
22/01/2025 19:30:00,SITE_COM_002,1.078,225.2,49.8,OK
10/01/2025 09:45:00,SITE_COM_001,1.488,238.6,49.93,OK
2025-01-28T06:00:00,SITE_RES_001,0.132,220.9,50.25,OK
20/01/2025 14:45:00,SITE_IND_002,2.212,230.4,50.01,OK
2025-01-22T13:15:00,SITE_COM_001,-777.0,235.2,50.32,ERROR
2025-01-28T09:45:00,SITE_IND_001,3.964,225.6,50.15,OK
2025-01-13T22:00:00,SITE_COM_002,0.146,221.3,49.92,OK
16/01/2025 06:00:00,SITE_COM_001,0.175,238.1,49.93,OK
2025-01-26T04:30:00,SITE_IND_001,1.469,243.2,50.16,OK
2025-01-17T14:30:00,SITE_IND_001,3.9,216.5,49.76,OK
05/01/2025 17:45:00,SITE_IND_001,1.636,225.9,49.99,OK
29/01/2025 10:00:00,SITE_RES_001,0.165,228.2,49.82,OK
2025-01-12T19:15:00,SITE_IND_001,1.347,242.1,50.47,OK
2025-01-25 01:15:00,SITE_IND_001,-888.0,222.4,49.91,ERROR
05/01/2025 14:45:00,SITE_RES_001,0.165,226.5,50.06,OK
29/01/2025 02:00:00,SITE_COM_002,0.148,236.3,50.16,OK
05/01/2025 06:00:00,SITE_IND_001,1.398,219.8,49.84,OK
2025-01-23T21:30:00,SITE_IND_001,3.618,217.2,49.89,OK
2025-01-27 09:30:00,SITE_COM_001,1.502,224.5,50.16,OK
2025-01-03T22:30:00,SITE_RES_002,0.107,216.1,50.34,OK
2025-01-03 19:30:00,SITE_RES_001,0.325,232.3,49.88,OK
06/01/2025 23:00:00,SITE_COM_001,0.257,220.3,50.05,OK
2025-01-20 22:45:00,SITE_IND_001,1.488,228.6,49.84,OK
