order_id,product_id,quantity,unit_price_eur,unit_cost_eur,discount_pct
ORD-000001,PRD-0707,4,1635.54,1009.46,0
ORD-000001,PRD-0723,5,1947.74,1274.62,0
ORD-000002,PRD-0526,2,53.0,38.56,2
ORD-000002,PRD-0651,4,676.94,519.36,0
ORD-000003,PRD-0498,4,8.26,5.3,0
ORD-000004,PRD-0392,3,11626.86,7705.12,0
ORD-000004,PRD-0005,6,270.34,213.81,2
ORD-000004,PRD-0338,10,7090.15,5304.02,2
ORD-000004,PRD-0096,6,236.07,183.43,0
ORD-000005,PRD-0063,6,336.35,256.87,0
ORD-000005,PRD-0010,4,407.33,325.79,2
ORD-000006,PRD-0243,7,1574.05,1465.47,0
ORD-000006,PRD-0046,5,368.46,272.64,0
ORD-000007,PRD-0349,7,10894.87,7445.23,0
ORD-000007,PRD-0120,4,211.51,167.57,2
ORD-000008,PRD-0353,8,6459.16,4435.53,0
ORD-000008,PRD-0397,9,7366.91,4934.85,0
ORD-000009,PRD-0489,1,34.72,24.32,0
ORD-000009,PRD-0424,6,11015.3,7808.76,2
ORD-000010,PRD-0525,5,89.76,61.65,0
ORD-000010,PRD-0579,6,170.59,127.24,2
ORD-000011,PRD-0265,7,1582.3,1392.81,2
ORD-000011,PRD-0702,8,999.78,676.75,0
ORD-000011,PRD-0390,1,4417.38,3375.2,0
ORD-000012,PRD-0532,7,189.84,122.56,2
ORD-000013,PRD-0042,8,367.01,268.56,0
ORD-000013,PRD-0776,1,1679.85,848.96,0
ORD-000014,PRD-0057,2,174.03,139.47,0
ORD-000014,PRD-0449,6,105.83,75.13,2
ORD-000014,PRD-0778,4,534.65,380.5,2
ORD-000015,PRD-0168,9,229.39,186.24,0
ORD-000015,PRD-0238,13,1751.66,1546.63,0
ORD-000016,PRD-0726,8,1659.93,990.89,0
ORD-000016,PRD-0029,1,394.45,309.62,2
ORD-000017,PRD-0350,1,6962.03,4980.09,0
ORD-000018,PRD-0392,7,11626.86,7705.12,0
ORD-000019,PRD-0593,3,109.58,82.03,2
ORD-000020,PRD-0254,1,2358.69,2233.41,0
ORD-000021,PRD-0564,1,173.78,105.52,0
ORD-000021,PRD-0543,7,48.29,30.81,0
ORD-000021,PRD-0653,5,73.31,55.68,0
ORD-000021,PRD-0458,1,154.95,98.41,0
ORD-000021,PRD-0558,5,73.64,50.17,0
ORD-000022,PRD-0607,4,610.88,470.65,0
ORD-000022,PRD-0795,1,1660.28,996.73,2
ORD-000022,PRD-0591,2,201.74,147.5,0
ORD-000022,PRD-0678,6,66.43,49.25,0
ORD-000023,PRD-0178,10,331.11,270.65,0
ORD-000023,PRD-0591,8,201.74,147.5,0
ORD-000023,PRD-0116,3,399.87,312.32,0
ORD-000024,PRD-0332,4,2146.24,1646.83,2
ORD-000025,PRD-0771,5,891.87,556.48,0
ORD-000025,PRD-0004,4,157.96,126.39,0
ORD-000025,PRD-0085,8,255.34,196.37,0
ORD-000026,PRD-0426,7,3092.27,2114.14,0
ORD-000026,PRD-0135,5,180.57,134.12,0
ORD-000027,PRD-0739,8,986.73,557.07,0
ORD-000027,PRD-0408,6,4997.91,3368.35,0
ORD-000028,PRD-0569,1,115.3,73.11,0
ORD-000028,PRD-0222,7,2110.97,1860.65,0
ORD-000029,PRD-0275,2,1297.24,1190.3,0
ORD-000029,PRD-0760,2,168.25,113.33,2
ORD-000030,PRD-0495,5,85.42,53.27,0
ORD-000030,PRD-0686,4,310.11,238.18,0
ORD-000030,PRD-0136,6,383.83,289.98,2
ORD-000030,PRD-0029,6,402.5,309.62,0
ORD-000030,PRD-0633,5,114.79,86.59,0
ORD-000031,PRD-0518,6,66.75,49.0,0
ORD-000031,PRD-0166,1,408.05,294.2,0
ORD-000031,PRD-0608,8,339.41,263.35,0
ORD-000032,PRD-0020,6,229.46,182.5,0
ORD-000032,PRD-0478,2,23.03,14.77,0
ORD-000032,PRD-0343,8,11808.19,8475.81,0
ORD-000033,PRD-0710,3,328.54,180.22,0
ORD-000033,PRD-0072,3,398.8,325.26,0
ORD-000034,PRD-0265,8,1614.59,1392.81,0
ORD-000034,PRD-0305,7,1977.02,1757.61,0
ORD-000034,PRD-0196,10,2717.11,2397.04,2
ORD-000034,PRD-0651,7,676.94,519.36,0
ORD-000035,PRD-0693,3,289.04,203.73,0
ORD-000035,PRD-0664,7,320.4,255.67,5
ORD-000036,PRD-0429,1,2051.81,1453.61,0
ORD-000036,PRD-0052,2,150.65,117.65,0
ORD-000037,PRD-0392,1,11626.86,7705.12,0
ORD-000038,PRD-0736,11,1831.88,1045.13,0
ORD-000038,PRD-0275,2,1297.24,1190.3,0
ORD-000038,PRD-0645,2,744.53,566.37,0
ORD-000039,PRD-0586,5,213.37,161.53,0
ORD-000039,PRD-0014,3,332.74,267.15,0
ORD-000040,PRD-0162,1,282.64,226.8,5
ORD-000040,PRD-0590,1,747.07,585.85,0
ORD-000041,PRD-0610,1,324.06,237.12,0
ORD-000041,PRD-0021,7,374.1,290.73,0
ORD-000042,PRD-0577,9,195.91,138.33,0
ORD-000043,PRD-0661,1,211.04,164.88,0
ORD-000043,PRD-0320,5,2008.84,1846.23,0
ORD-000043,PRD-0309,4,560.81,495.55,0
ORD-000043,PRD-0150,11,357.54,282.23,0
ORD-000044,PRD-0373,7,6107.95,4439.1,0
ORD-000044,PRD-0275,3,1297.24,1190.3,0
ORD-000045,PRD-0188,4,2731.97,2539.76,0
ORD-000045,PRD-0706,8,387.15,217.08,0
