order_id,customer_id,rep_id,warehouse_id,order_date,ship_date,status
ORD-000001,CLI-00001,REP-002,WH-005,2024-04-26,2024-04-28,completed
ORD-000002,CLI-00001,REP-002,WH-004,2025-04-26,2025-04-28,completed
ORD-000003,CLI-00001,REP-002,WH-008,2025-11-11,2025-11-21,processing
ORD-000004,CLI-00001,REP-002,WH-003,2025-05-15,2025-05-25,completed
ORD-000005,CLI-00001,REP-030,WH-008,2025-07-04,2025-07-09,processing
ORD-000006,CLI-00001,REP-002,WH-002,2025-10-15,2025-10-22,completed
ORD-000007,CLI-00001,REP-002,WH-008,2025-09-24,2025-09-27,processing
ORD-000008,CLI-00001,REP-002,WH-004,2024-10-19,2024-10-29,shipped
ORD-000009,CLI-00001,REP-024,WH-010,2025-06-15,2025-06-25,shipped
ORD-000010,CLI-00001,REP-002,WH-006,2025-06-10,2025-06-13,completed
ORD-000011,CLI-00001,REP-002,WH-004,2024-03-17,2024-03-31,completed
ORD-000012,CLI-00001,REP-042,WH-012,2025-05-19,2025-05-21,processing
ORD-000013,CLI-00001,REP-002,WH-008,2025-06-20,2025-06-23,completed
ORD-000014,CLI-00001,REP-052,WH-008,2025-03-08,2025-03-13,completed
ORD-000015,CLI-00001,REP-002,WH-011,2025-05-06,2025-05-07,processing
ORD-000016,CLI-00001,REP-002,WH-007,2025-09-07,2025-09-21,completed
ORD-000017,CLI-00001,REP-002,WH-010,2025-12-09,2025-12-16,completed
ORD-000018,CLI-00001,REP-002,WH-008,2024-09-20,2024-09-22,shipped
ORD-000019,CLI-00001,REP-002,WH-006,2025-04-27,2025-04-30,completed
ORD-000020,CLI-00001,REP-002,WH-003,2024-09-09,2024-09-12,completed
ORD-000021,CLI-00001,REP-031,WH-009,2025-05-10,2025-05-13,processing
ORD-000022,CLI-00001,REP-002,WH-007,2025-01-03,2025-01-10,cancelled
ORD-000023,CLI-00001,REP-002,WH-005,2025-03-26,2025-03-29,completed
ORD-000024,CLI-00001,REP-002,WH-009,2024-02-01,2024-02-08,completed
ORD-000025,CLI-00001,REP-002,WH-011,2025-06-11,2025-06-13,completed
ORD-000026,CLI-00001,REP-005,WH-001,2025-05-17,2025-05-19,processing
ORD-000027,CLI-00001,REP-002,WH-003,2025-05-13,2025-05-18,shipped
ORD-000028,CLI-00001,REP-033,WH-008,2024-09-26,2024-09-27,completed
ORD-000029,CLI-00001,REP-010,WH-004,2025-01-03,2025-01-06,completed
ORD-000030,CLI-00001,REP-002,WH-007,2024-08-01,2024-08-02,completed
ORD-000031,CLI-00001,REP-002,WH-004,2025-12-15,2025-12-25,shipped
ORD-000032,CLI-00001,REP-002,WH-008,2025-10-03,2025-10-06,completed
ORD-000033,CLI-00001,REP-002,WH-002,2025-10-19,2025-10-22,completed
ORD-000034,CLI-00001,REP-002,WH-008,2025-09-08,2025-09-13,completed
ORD-000035,CLI-00002,REP-003,WH-010,2025-10-12,2025-10-15,completed
ORD-000036,CLI-00002,REP-003,WH-010,2024-01-26,2024-02-09,completed
ORD-000037,CLI-00002,REP-003,WH-009,2025-07-14,2025-07-19,completed
ORD-000038,CLI-00002,REP-003,WH-009,2025-02-09,2025-02-23,completed
ORD-000039,CLI-00002,REP-017,WH-010,2025-09-06,2025-09-09,cancelled
ORD-000040,CLI-00002,REP-003,WH-010,2024-11-26,2024-12-17,completed
ORD-000041,CLI-00002,REP-003,WH-009,2025-07-22,2025-07-29,cancelled
ORD-000042,CLI-00002,REP-003,WH-009,2025-09-15,2025-09-18,shipped
ORD-000043,CLI-00002,REP-003,WH-010,2025-07-23,2025-07-25,completed
ORD-000044,CLI-00002,REP-003,WH-009,2025-08-04,2025-08-09,shipped
ORD-000045,CLI-00002,REP-003,WH-009,2025-12-22,2025-12-27,shipped
ORD-000046,CLI-00002,REP-003,WH-010,2024-02-08,2024-02-22,completed
ORD-000047,CLI-00002,REP-011,WH-009,2025-01-19,2025-01-21,completed
ORD-000048,CLI-00002,REP-003,WH-010,2024-04-27,2024-05-04,completed
ORD-000049,CLI-00002,REP-003,WH-009,2025-07-12,2025-07-22,completed
ORD-000050,CLI-00002,REP-003,WH-010,2025-07-09,2025-07-30,completed
ORD-000051,CLI-00002,REP-003,WH-010,2025-10-06,2025-10-11,completed
ORD-000052,CLI-00002,REP-028,WH-009,2025-08-28,2025-08-31,completed
ORD-000053,CLI-00002,REP-003,WH-010,2024-06-03,2024-06-06,completed
ORD-000054,CLI-00002,REP-033,WH-009,2025-03-07,2025-03-10,shipped
ORD-000055,CLI-00002,REP-003,WH-009,2025-03-27,2025-04-01,completed
ORD-000056,CLI-00002,REP-003,WH-010,2025-12-16,2025-12-23,processing
ORD-000057,CLI-00002,REP-003,WH-009,2025-06-01,2025-06-03,shipped
ORD-000058,CLI-00002,REP-003,WH-010,2024-12-08,2024-12-11,completed
ORD-000059,CLI-00002,REP-003,WH-010,2024-04-16,2024-04-17,completed
ORD-000060,CLI-00002,REP-003,WH-010,2024-09-04,2024-09-07,completed
ORD-000061,CLI-00002,REP-003,WH-010,2024-07-05,2024-07-06,completed
ORD-000062,CLI-00002,REP-003,WH-009,2025-08-04,2025-08-11,shipped
ORD-000063,CLI-00002,REP-053,WH-010,2024-10-05,2024-10-07,completed
ORD-000064,CLI-00002,REP-003,WH-009,2025-04-02,2025-04-09,completed
ORD-000065,CLI-00002,REP-003,WH-010,2024-05-13,2024-05-16,completed
ORD-000066,CLI-00002,REP-032,WH-010,2024-04-20,2024-05-04,completed
ORD-000067,CLI-00002,REP-003,WH-009,2025-05-15,2025-05-20,completed
ORD-000068,CLI-00002,REP-007,WH-009,2025-01-13,2025-01-18,completed
ORD-000069,CLI-00002,REP-003,WH-009,2025-05-14,2025-05-15,shipped
ORD-000070,CLI-00002,REP-003,WH-009,2025-08-02,2025-08-05,completed
ORD-000071,CLI-00002,REP-045,WH-009,2024-04-05,2024-04-07,completed
ORD-000072,CLI-00002,REP-008,WH-009,2024-04-02,2024-04-04,completed
ORD-000073,CLI-00002,REP-003,WH-009,2025-07-08,2025-07-11,completed
ORD-000074,CLI-00002,REP-003,WH-010,2025-12-22,2026-01-01,completed
ORD-000075,CLI-00002,REP-036,WH-009,2024-09-17,2024-10-01,completed
ORD-000076,CLI-00002,REP-003,WH-009,2025-06-17,2025-06-18,shipped
ORD-000077,CLI-00002,REP-003,WH-010,2024-04-16,2024-04-23,completed
ORD-000078,CLI-00002,REP-003,WH-009,2025-11-17,2025-11-22,shipped
ORD-000079,CLI-00002,REP-003,WH-010,2025-02-27,2025-03-02,completed
ORD-000080,CLI-00002,REP-003,WH-009,2025-12-20,2025-12-23,completed
ORD-000081,CLI-00002,REP-003,WH-010,2025-12-13,2025-12-16,completed
ORD-000082,CLI-00002,REP-003,WH-010,2025-11-15,2025-11-16,processing
ORD-000083,CLI-00002,REP-005,WH-010,2025-10-02,2025-10-04,completed
ORD-000084,CLI-00002,REP-003,WH-010,2025-05-19,2025-05-22,completed
ORD-000085,CLI-00002,REP-003,WH-009,2024-10-24,2024-10-27,completed
ORD-000086,CLI-00002,REP-003,WH-010,2025-06-27,2025-06-29,shipped
ORD-000087,CLI-00002,REP-016,WH-009,2025-10-28,2025-11-07,processing
ORD-000088,CLI-00002,REP-028,WH-009,2025-11-16,2025-11-19,completed
ORD-000089,CLI-00002,REP-003,WH-009,2025-03-01,2025-03-11,processing
ORD-000090,CLI-00002,REP-003,WH-010,2024-08-15,2024-08-29,completed
ORD-000091,CLI-00002,REP-026,WH-009,2025-06-27,2025-07-04,completed
ORD-000092,CLI-00002,REP-003,WH-009,2025-04-20,2025-04-23,completed
ORD-000093,CLI-00002,REP-003,WH-009,2024-06-18,2024-06-21,completed
ORD-000094,CLI-00002,REP-003,WH-010,2025-01-24,2025-01-26,completed
ORD-000095,CLI-00002,REP-003,WH-010,2025-06-07,2025-06-10,completed
ORD-000096,CLI-00002,REP-003,WH-009,2025-09-03,2025-09-05,processing
ORD-000097,CLI-00002,REP-003,WH-009,2025-10-04,2025-10-06,shipped
ORD-000098,CLI-00002,REP-003,WH-009,2025-09-23,2025-09-28,completed
ORD-000099,CLI-00002,REP-003,WH-009,2024-09-24,2024-09-26,processing
ORD-000100,CLI-00002,REP-060,WH-009,2025-04-28,2025-05-01,completed
ORD-000101,CLI-00002,REP-003,WH-009,2024-02-04,2024-02-11,completed
ORD-000102,CLI-00002,REP-003,WH-009,2024-06-27,2024-07-04,shipped
ORD-000103,CLI-00002,REP-003,WH-009,2025-09-09,2025-09-23,completed
ORD-000104,CLI-00002,REP-003,WH-009,2025-04-22,2025-04-27,shipped
ORD-000105,CLI-00002,REP-001,WH-009,2024-02-22,2024-02-25,shipped
ORD-000106,CLI-00002,REP-014,WH-009,2025-02-12,2025-02-15,completed
ORD-000107,CLI-00002,REP-003,WH-010,2025-09-17,2025-09-22,cancelled
ORD-000108,CLI-00002,REP-003,WH-010,2024-06-03,2024-06-06,shipped
ORD-000109,CLI-00002,REP-003,WH-010,2024-07-28,2024-07-31,shipped
