product_id,product_name,category,sub_category,brand,unit_cost_eur,list_price_eur
PRD-0001,LONGi Bifacial 328,Panneaux Solaires,Bifacial,LONGi,124.82,157.5
PRD-0002,LONGi Monocristallin 189,Panneaux Solaires,Monocristallin,LONGi,257.97,353.01
PRD-0003,Trina Bifacial 338,Panneaux Solaires,Bifacial,Trina,129.32,159.53
PRD-0004,JA Solar Bifacial 765,Panneaux Solaires,Bifacial,JA Solar,126.39,157.96
PRD-0005,JA Solar Bifacial 384,Panneaux Solaires,Bifacial,JA Solar,213.81,275.86
PRD-0006,Jinko Monocristallin 259,Panneaux Solaires,Monocristallin,Jinko,282.51,359.44
PRD-0007,Canadian Solar Monocristallin 467,Panneaux Solaires,Monocristallin,Canadian Solar,141.28,180.66
PRD-0008,JA Solar Polycristallin 570,Panneaux Solaires,Polycristallin,JA Solar,187.08,229.36
PRD-0009,LONGi Bifacial 665,Panneaux Solaires,Bifacial,LONGi,345.65,441.93
PRD-0010,JA Solar Polycristallin 296,Panneaux Solaires,Polycristallin,JA Solar,325.79,415.64
PRD-0011,LONGi Bifacial 396,Panneaux Solaires,Bifacial,LONGi,130.54,163.75
PRD-0012,Jinko Monocristallin 564,Panneaux Solaires,Monocristallin,Jinko,320.58,409.95
PRD-0013,Canadian Solar Bifacial 786,Panneaux Solaires,Bifacial,Canadian Solar,155.95,198.8
PRD-0014,LONGi Polycristallin 846,Panneaux Solaires,Polycristallin,LONGi,267.15,332.74
PRD-0015,Jinko Monocristallin 755,Panneaux Solaires,Monocristallin,Jinko,228.92,288.68
PRD-0016,JA Solar Bifacial 886,Panneaux Solaires,Bifacial,JA Solar,170.02,215.88
PRD-0017,Jinko Monocristallin 510,Panneaux Solaires,Monocristallin,Jinko,293.24,396.54
PRD-0018,LONGi Polycristallin 997,Panneaux Solaires,Polycristallin,LONGi,154.79,213.29
PRD-0019,Canadian Solar Bifacial 758,Panneaux Solaires,Bifacial,Canadian Solar,164.63,213.79
PRD-0020,Jinko Polycristallin 674,Panneaux Solaires,Polycristallin,Jinko,182.5,229.46
PRD-0021,Canadian Solar Bifacial 697,Panneaux Solaires,Bifacial,Canadian Solar,290.73,374.1
PRD-0022,Canadian Solar Polycristallin 621,Panneaux Solaires,Polycristallin,Canadian Solar,155.43,215.8
PRD-0023,LONGi Polycristallin 256,Panneaux Solaires,Polycristallin,LONGi,276.48,376.73
PRD-0024,Jinko Bifacial 165,Panneaux Solaires,Bifacial,Jinko,301.48,387.62
PRD-0025,Trina Polycristallin 357,Panneaux Solaires,Polycristallin,Trina,254.2,328.77
PRD-0026,LONGi Bifacial 649,Panneaux Solaires,Bifacial,LONGi,286.3,354.09
PRD-0027,Canadian Solar Polycristallin 564,Panneaux Solaires,Polycristallin,Canadian Solar,142.47,183.47
PRD-0028,Canadian Solar Monocristallin 619,Panneaux Solaires,Monocristallin,Canadian Solar,328.44,441.57
PRD-0029,Canadian Solar Monocristallin 303,Panneaux Solaires,Monocristallin,Canadian Solar,309.62,402.5
PRD-0030,Canadian Solar Monocristallin 897,Panneaux Solaires,Monocristallin,Canadian Solar,290.15,378.75
