stock_date,product_id,warehouse_id,quantity_on_hand,reorder_point,max_stock,unit_cost_eur,avg_daily_demand
2025-10-01,PRD-0663,WH-010,244,38,291,267.42,13
2025-10-01,PRD-0663,WH-003,0,5,43,267.42,1
2025-10-01,PRD-0663,WH-011,461,87,655,267.42,10
2025-10-01,PRD-0663,WH-008,273,53,402,267.42,14
2025-10-01,PRD-0618,WH-007,90,24,184,204.66,7
2025-10-01,PRD-0618,WH-004,315,57,432,204.66,12
2025-10-01,PRD-0618,WH-011,187,43,324,204.66,5
2025-10-01,PRD-0618,WH-003,97,21,163,204.66,4
2025-10-01,PRD-0415,WH-002,135,17,133,5081.7,3
2025-10-01,PRD-0415,WH-012,188,38,291,5081.7,12
2025-10-01,PRD-0415,WH-001,285,58,436,5081.7,16
2025-10-01,PRD-0415,WH-008,79,14,111,5081.7,3
2025-10-01,PRD-0351,WH-003,503,99,742,7136.11,35
2025-10-01,PRD-0351,WH-005,335,57,427,7136.11,13
2025-10-01,PRD-0351,WH-004,390,78,589,7136.11,29
2025-10-01,PRD-0351,WH-010,256,57,430,7136.11,13
2025-10-01,PRD-0096,WH-004,53,16,121,183.43,4
2025-10-01,PRD-0096,WH-008,218,49,372,183.43,5
2025-10-01,PRD-0096,WH-001,120,19,148,183.43,5
2025-10-01,PRD-0096,WH-002,190,41,310,183.43,7
2025-10-01,PRD-0634,WH-002,357,76,571,363.92,9
2025-10-01,PRD-0634,WH-004,349,72,546,363.92,20
2025-10-01,PRD-0634,WH-005,282,62,468,363.92,9
2025-10-01,PRD-0634,WH-006,482,94,706,363.92,30
2025-10-01,PRD-0492,WH-007,0,4,31,103.1,1
2025-10-01,PRD-0492,WH-004,131,30,225,103.1,9
2025-10-01,PRD-0492,WH-012,365,81,612,103.1,27
2025-10-01,PRD-0492,WH-005,277,64,484,103.1,15
2025-10-01,PRD-0614,WH-011,121,26,199,89.27,6
2025-10-01,PRD-0614,WH-009,505,91,684,89.27,34
2025-10-01,PRD-0614,WH-003,434,79,598,89.27,16
2025-10-01,PRD-0614,WH-004,188,46,345,89.27,15
2025-10-01,PRD-0620,WH-008,326,72,541,571.81,28
2025-10-01,PRD-0620,WH-009,107,13,100,571.81,4
2025-10-01,PRD-0620,WH-007,206,34,256,571.81,13
2025-10-01,PRD-0620,WH-006,125,30,226,571.81,4
2025-10-01,PRD-0537,WH-006,304,53,399,85.76,18
2025-10-01,PRD-0537,WH-011,130,19,144,85.76,7
2025-10-01,PRD-0537,WH-007,72,22,171,85.76,8
2025-10-01,PRD-0537,WH-004,296,59,447,85.76,15
2025-10-01,PRD-0134,WH-012,261,58,436,346.02,12
2025-10-01,PRD-0134,WH-004,456,93,697,346.02,21
2025-10-01,PRD-0134,WH-009,69,17,127,346.02,5
2025-10-01,PRD-0134,WH-008,458,86,646,346.02,10
2025-10-01,PRD-0311,WH-004,448,89,669,1310.93,22
2025-10-01,PRD-0311,WH-002,195,40,306,1310.93,9
2025-10-01,PRD-0311,WH-001,501,97,732,1310.93,13
2025-10-01,PRD-0311,WH-007,385,72,546,1310.93,18
2025-10-01,PRD-0676,WH-006,117,18,136,355.84,3
2025-10-01,PRD-0676,WH-003,448,83,622,355.84,20
2025-10-01,PRD-0676,WH-011,484,92,694,355.84,19
2025-10-01,PRD-0676,WH-007,428,85,637,355.84,29
2025-10-01,PRD-0149,WH-007,508,95,718,232.76,27
2025-10-01,PRD-0149,WH-005,43,18,138,232.76,3
2025-10-01,PRD-0149,WH-003,307,55,418,232.76,12
2025-10-01,PRD-0149,WH-008,60,14,111,232.76,5
2025-10-01,PRD-0692,WH-010,38,9,72,279.73,1
2025-10-01,PRD-0692,WH-011,67,18,135,279.73,5
2025-10-01,PRD-0692,WH-001,104,23,174,279.73,4
2025-10-01,PRD-0692,WH-007,403,87,655,279.73,11
2025-10-01,PRD-0430,WH-008,308,64,481,5108.44,10
2025-10-01,PRD-0430,WH-010,185,30,229,5108.44,3
2025-10-01,PRD-0430,WH-005,333,68,514,5108.44,21
2025-10-01,PRD-0430,WH-007,378,70,526,5108.44,25
2025-10-01,PRD-0222,WH-011,330,64,484,1860.65,15
2025-10-01,PRD-0222,WH-006,323,65,490,1860.65,10
2025-10-01,PRD-0222,WH-008,80,25,192,1860.65,8
2025-10-01,PRD-0222,WH-002,328,58,435,1860.65,19
2025-10-01,PRD-0248,WH-007,310,52,396,2850.47,8
2025-10-01,PRD-0248,WH-009,448,84,634,2850.47,27
2025-10-01,PRD-0248,WH-002,435,91,685,2850.47,34
2025-10-01,PRD-0248,WH-001,296,51,385,2850.47,19
2025-10-01,PRD-0442,WH-005,357,76,573,65.39,30
2025-10-01,PRD-0442,WH-006,409,81,609,65.39,10
2025-10-01,PRD-0442,WH-011,190,45,342,65.39,17
2025-10-01,PRD-0442,WH-001,236,55,418,65.39,14
2025-10-01,PRD-0091,WH-008,493,96,721,210.79,10
2025-10-01,PRD-0091,WH-002,528,99,747,210.79,24
2025-10-01,PRD-0091,WH-004,54,19,144,210.79,7
2025-10-01,PRD-0091,WH-007,69,22,165,210.79,2
2025-10-01,PRD-0789,WH-001,430,87,657,916.63,10
2025-10-01,PRD-0789,WH-009,312,54,411,916.63,16
2025-10-01,PRD-0789,WH-010,134,30,225,916.63,11
2025-10-01,PRD-0789,WH-003,297,57,430,916.63,16
2025-10-01,PRD-0686,WH-002,515,97,733,238.18,37
2025-10-01,PRD-0686,WH-004,225,52,393,238.18,12
2025-10-01,PRD-0686,WH-005,48,5,39,238.18,1
2025-10-01,PRD-0686,WH-010,18,12,94,238.18,2
2025-10-01,PRD-0628,WH-012,169,36,276,329.25,8
2025-10-01,PRD-0628,WH-002,110,25,189,329.25,9
2025-10-01,PRD-0628,WH-007,140,19,144,329.25,6
2025-10-01,PRD-0628,WH-005,163,42,319,329.25,8
2025-10-01,PRD-0183,WH-002,204,33,250,2112.54,8
2025-10-01,PRD-0183,WH-009,327,71,538,2112.54,21
2025-10-01,PRD-0183,WH-010,326,57,427,2112.54,14
2025-10-01,PRD-0183,WH-003,209,46,349,2112.54,14
2025-10-01,PRD-0117,WH-004,326,56,426,302.6,19
2025-10-01,PRD-0117,WH-007,134,18,135,302.6,5
2025-10-01,PRD-0117,WH-005,372,78,586,302.6,18
2025-10-01,PRD-0117,WH-010,11,10,81,302.6,3
2025-10-01,PRD-0615,WH-009,116,28,216,252.68,3
2025-10-01,PRD-0615,WH-007,187,30,225,252.68,5
2025-10-01,PRD-0615,WH-001,441,84,636,252.68,25
2025-10-01,PRD-0615,WH-010,105,30,225,252.68,7
2025-10-01,PRD-0141,WH-002,388,69,520,300.7,17
2025-10-01,PRD-0141,WH-005,281,66,496,300.7,20
2025-10-01,PRD-0141,WH-007,161,24,183,300.7,5
2025-10-01,PRD-0141,WH-012,74,20,156,300.7,2
2025-10-01,PRD-0084,WH-001,209,51,384,271.5,13
2025-10-01,PRD-0084,WH-010,154,30,225,271.5,7
2025-10-01,PRD-0084,WH-011,194,48,363,271.5,14
2025-10-01,PRD-0084,WH-005,177,27,204,271.5,7
2025-10-01,PRD-0296,WH-012,53,20,151,1541.82,8
2025-10-01,PRD-0296,WH-006,420,84,631,1541.82,22
2025-10-01,PRD-0296,WH-010,279,55,417,1541.82,8
2025-10-01,PRD-0296,WH-011,261,53,400,1541.82,11
2025-10-01,PRD-0405,WH-003,218,50,375,5748.51,9
2025-10-01,PRD-0405,WH-006,165,40,303,5748.51,8
2025-10-01,PRD-0405,WH-004,272,51,382,5748.51,9
2025-10-01,PRD-0405,WH-012,292,56,424,5748.51,8
2025-10-01,PRD-0360,WH-007,276,46,348,8405.24,17
2025-10-01,PRD-0360,WH-006,448,80,600,8405.24,11
2025-10-01,PRD-0360,WH-012,183,45,337,8405.24,16
2025-10-01,PRD-0360,WH-010,363,81,609,8405.24,16
2025-10-01,PRD-0682,WH-009,423,85,642,394.59,16
2025-10-01,PRD-0682,WH-006,355,64,486,394.59,16
2025-10-01,PRD-0682,WH-012,36,7,52,394.59,2
2025-10-01,PRD-0682,WH-003,481,89,673,394.59,22
2025-10-01,PRD-0171,WH-009,137,32,246,279.55,8
2025-10-01,PRD-0171,WH-004,167,25,193,279.55,9
2025-10-01,PRD-0171,WH-007,318,65,489,279.55,11
2025-10-01,PRD-0171,WH-011,421,81,610,279.55,27
2025-10-01,PRD-0701,WH-004,339,64,481,187.23,22
2025-10-01,PRD-0701,WH-011,140,19,145,187.23,3
2025-10-01,PRD-0701,WH-007,249,57,432,187.23,13
2025-10-01,PRD-0701,WH-012,78,8,64,187.23,1
2025-10-01,PRD-0503,WH-009,122,27,202,86.19,9
2025-10-01,PRD-0503,WH-003,275,64,483,86.19,22
2025-10-01,PRD-0503,WH-006,152,35,262,86.19,10
2025-10-01,PRD-0503,WH-007,177,32,241,86.19,5
2025-10-01,PRD-0571,WH-004,498,97,730,67.1,31
2025-10-01,PRD-0571,WH-007,122,28,211,67.1,6
2025-10-01,PRD-0571,WH-012,173,28,216,67.1,8
2025-10-01,PRD-0571,WH-011,153,27,205,67.1,5
2025-10-01,PRD-0329,WH-004,458,97,733,2839.57,17
2025-10-01,PRD-0329,WH-012,260,44,333,2839.57,9
2025-10-01,PRD-0329,WH-007,125,24,186,2839.57,6
2025-10-01,PRD-0329,WH-011,251,49,372,2839.57,7
2025-10-01,PRD-0721,WH-004,206,42,319,782.48,7
2025-10-01,PRD-0721,WH-008,383,81,612,782.48,28
2025-10-01,PRD-0721,WH-001,472,95,714,782.48,33
2025-10-01,PRD-0721,WH-007,482,99,742,782.48,18
2025-10-01,PRD-0756,WH-008,233,53,402,863.33,13
2025-10-01,PRD-0756,WH-007,62,14,109,863.33,1
2025-10-01,PRD-0756,WH-006,243,48,366,863.33,10
2025-10-01,PRD-0756,WH-004,158,26,198,863.33,3
2025-10-01,PRD-0254,WH-004,392,87,654,2233.41,31
2025-10-01,PRD-0254,WH-007,278,49,372,2233.41,15
2025-10-01,PRD-0254,WH-010,141,34,258,2233.41,12
2025-10-01,PRD-0254,WH-001,251,42,321,2233.41,14
2025-10-01,PRD-0053,WH-008,350,61,463,200.55,21
2025-10-01,PRD-0053,WH-001,437,91,682,200.55,10
2025-10-01,PRD-0053,WH-004,365,80,600,200.55,29
2025-10-01,PRD-0053,WH-010,171,39,292,200.55,12
2025-10-01,PRD-0671,WH-010,397,88,666,338.07,12
2025-10-01,PRD-0671,WH-003,170,36,274,338.07,5
2025-10-01,PRD-0671,WH-005,86,22,165,338.07,6
2025-10-01,PRD-0671,WH-012,150,25,190,338.07,8
2025-10-01,PRD-0267,WH-001,257,45,343,1797.77,7
2025-10-01,PRD-0267,WH-006,442,95,715,1797.77,36
2025-10-01,PRD-0267,WH-004,79,24,186,1797.77,8
2025-10-01,PRD-0267,WH-002,65,18,136,1797.77,2
2025-10-01,PRD-0145,WH-005,161,35,264,163.39,10
2025-10-01,PRD-0145,WH-010,274,48,361,163.39,12
2025-10-01,PRD-0145,WH-007,479,91,682,163.39,21
2025-10-01,PRD-0145,WH-001,49,15,112,163.39,5
2025-10-01,PRD-0306,WH-010,215,36,270,1343.5,6
2025-10-01,PRD-0306,WH-005,277,62,471,1343.5,15
2025-10-01,PRD-0306,WH-002,114,21,160,1343.5,2
