customer_id,company_name,country,city,address,contact_email
CLI-00001,SolarTech 23,Belgium,Brussels,152 Rue de l'Energie,contact@solartech23.eu
CLI-00002,RenovSolutions 27,Italy,Bologna,134 Rue de l'Energie,contact@renovsolutions27.eu
CLI-00003,LumiSolutions 92, France ,Paris,23 Rue de l'Energie,contact@lumisolutions92.eu
CLI-00004,ElectraServices 25,Germany,Berlin,25 Rue de l'Energie,contact@electraservices25.eu
CLI-00005,VoltPlus 85,Netherlands,Rotterdam,50 Rue de l'Energie,contact@voltplus85.eu
CLI-00006,VoltSolutions 21,Italie,Bologna,14 Rue de l'Energie,contact@voltsolutions21.eu
CLI-00007,LumiGroup 6,Germany,Hamburg,138 Rue de l'Energie,contact@lumigroup6.eu
CLI-00008,EnerServices 93,GERMANY,Berlin,84 Rue de l'Energie,contact@enerservices93.eu
CLI-00009,InstalPro 42,Belgium,Antwerp,189 Rue de l'Energie,contact@instalpro42.eu
CLI-00010,VoltEurope 63,Belgium,Brussels,38 Rue de l'Energie,contact@volteurope63.eu
CLI-00011,GreenGroup 93,FR,Nantes,70 Rue de l'Energie,contact@greengroup93.eu
CLI-00012,SunSolutions 15,ES,Madrid,44 Rue de l'Energie,contact@sunsolutions15.eu
CLI-00013,InstalPlus 79,FR,Marseille,142 Rue de l'Energie,contact@instalplus79.eu
CLI-00014,BatServices 76,IT,Bologna,72 Rue de l'Energie,
CLI-00015,WindInstall 75,Belgium,Antwerp,152 Rue de l'Energie,contact@windinstall75.eu
CLI-00016,SolarTech 61,Belgique,Liege,9 Rue de l'Energie,contact@solartech61.eu
CLI-00017,VoltGroup 31,Italy,Milan,4 Rue de l'Energie,contact@voltgroup31.eu
CLI-00018,SunServices 83,France,Nantes,,contact@sunservices83.eu
CLI-00019,RenovEurope 4,GERMANY,Cologne,36 Rue de l'Energie,contact@renoveurope4.eu
CLI-00020,ThermGroup 91,Italie,Turin,,contact@thermgroup91.eu
CLI-00021,SolarEnergy 55,ES,Bilbao,157 Rue de l'Energie,contact@solarenergy55.eu
CLI-00022,LumiSystems 95,Italy,Milan,173 Rue de l'Energie,contact@lumisystems95.eu
CLI-00023,LumiTech 47,Allemagne,Frankfurt,144 Rue de l'Energie,contact@lumitech47.eu
CLI-00024,WindServices 70,Italy,Rome,189 Rue de l'Energie,contact@windservices70.eu
CLI-00025,InstalDirect 98,Netherlands,Rotterdam,69 Rue de l'Energie,contact@instaldirect98.eu
CLI-00026,WindGroup 63,France,Nantes,137 Rue de l'Energie,contact@windgroup63.eu
CLI-00027,InstalPlus 89,France,Nantes,118 Rue de l'Energie,contact@instalplus89.eu
CLI-00028,EnerSolutions 36,France,Lyon,128 Rue de l'Energie,contact@enersolutions36.eu
CLI-00029,SunInstall 88,Pays-Bas,Amsterdam,122 Rue de l'Energie,contact@suninstall88.eu
CLI-00030,EcoPro 3,Spain,Valencia,134 Rue de l'Energie,contact@ecopro3.eu
CLI-00031,InstalSystems 63,GERMANY,Stuttgart,146 Rue de l'Energie,contact@instalsystems63.eu
CLI-00032,EcoGroup 48,france,Bordeaux,13 Rue de l'Energie,contact@ecogroup48.eu
CLI-00033,RenovPartners 37,Netherlands,Rotterdam,182 Rue de l'Energie,contact@renovpartners37.eu
CLI-00034,EnerTech 41,FR,Toulouse,95 Rue de l'Energie,contact@enertech41.eu
CLI-00035,WindSolutions 48, France ,Nantes,42 Rue de l'Energie,contact@windsolutions48.eu
CLI-00036,InstalSolutions 59,france,Strasbourg,190 Rue de l'Energie,contact@instalsolutions59.eu
CLI-00037,VoltEnergy 97,Espagne,Valencia,145 Rue de l'Energie,contact@voltenergy97.eu
CLI-00038,RenovGroup 6,DE,Berlin,30 Rue de l'Energie,contact@renovgroup6.eu
CLI-00039,WindPro 42,Italy,Bologna,50 Rue de l'Energie,contact@windpro42.eu
CLI-00040,EcoTech 11,Pays-Bas,Utrecht,174 Rue de l'Energie,contact@ecotech11.eu
CLI-00041,VoltSystems 78,Germany,Munich,93 Rue de l'Energie,contact@voltsystems78.eu
CLI-00042,WindTech 37,Allemagne,Frankfurt,115 Rue de l'Energie,contact@windtech37.eu
CLI-00043,RenovInstall 57,ES,Sevilla,187 Rue de l'Energie,contact@renovinstall57.eu
